iter	Passed	Remaining
0	91	9094
1	123	6035
2	156	5059
3	187	4491
4	217	4140
5	249	3904
6	280	3723
7	311	3582
8	344	3480
9	378	3409
10	413	3344
11	443	3252
12	473	3171
13	503	3091
14	534	3026
15	564	2962
16	595	2907
17	625	2848
18	657	2802
19	688	2752
20	718	2704
21	750	2659
22	785	2631
23	816	2585
24	847	2543
25	877	2498
26	913	2469
27	943	2426
28	974	2385
29	1005	2346
30	1036	2307
31	1067	2268
32	1099	2232
33	1131	2196
34	1164	2163
35	1195	2125
36	1225	2086
37	1256	2049
38	1287	2014
39	1317	1976
40	1347	1938
41	1379	1905
42	1411	1871
43	1441	1835
44	1471	1798
45	1501	1763
46	1533	1728
47	1563	1693
48	1593	1658
49	1624	1624
50	1657	1592
51	1689	1559
52	1719	1524
53	1750	1491
54	1781	1457
55	1813	1424
56	1842	1390
57	1874	1357
58	1906	1324
59	1937	1291
60	1968	1258
61	1999	1225
62	2030	1192
63	2060	1159
64	2092	1126
65	2122	1093
66	2155	1061
67	2186	1029
68	2217	996
69	2247	963
70	2277	930
71	2308	897
72	2338	864
73	2368	832
74	2402	800
75	2433	768
76	2463	735
77	2494	703
78	2525	671
79	2555	638
80	2584	606
81	2614	573
82	2646	542
83	2676	509
84	2708	477
85	2738	445
86	2769	413
87	2805	382
88	2836	350
89	2865	318
90	2896	286
91	2926	254
92	2957	222
93	2988	190
94	3019	158
95	3050	127
96	3081	95
97	3112	63
98	3142	31
99	3173	0
